iter	RMSE
0	9.50856612
1	9.507180318
2	9.505830021
3	9.50451917
4	9.503220283
5	9.501950151
6	9.500711287
7	9.499483338
8	9.498299541
9	9.497129891
10	9.495970106
11	9.494864514
12	9.493728763
13	9.492654733
14	9.491570926
15	9.490507738
16	9.489472687
17	9.488435735
18	9.487439811
19	9.486456663
20	9.485515636
21	9.484572368
22	9.483666228
23	9.482751411
24	9.481813237
25	9.480946571
26	9.480078751
27	9.479218013
28	9.47834717
29	9.477534263
30	9.476678308
31	9.475876362
32	9.475113752
33	9.474327078
34	9.473574733
35	9.472842393
36	9.472106055
37	9.471365718
38	9.470626398
39	9.469931822
40	9.469235402
41	9.468550761
42	9.467904429
43	9.467238334
44	9.466589403
45	9.465943654
46	9.4653183
47	9.464687526
48	9.46407751
49	9.463487181
50	9.462897892
51	9.462342283
52	9.461822873
53	9.461278322
54	9.460716161
55	9.460193432
56	9.459684668
57	9.459168341
58	9.458686075
59	9.458185125
60	9.457720035
61	9.457230518
62	9.456767893
63	9.456305605
64	9.455837193
65	9.455390295
66	9.45495594
67	9.454529822
68	9.454102967
69	9.453717739
70	9.453313826
71	9.452904869
72	9.452488354
73	9.452100547
74	9.451708774
75	9.451327759
76	9.450948523
77	9.450585075
78	9.450228078
79	9.449858137
80	9.449500035
81	9.449140842
82	9.44880678
83	9.448439657
84	9.448102337
85	9.447779375
86	9.447454606
87	9.447133777
88	9.446811142
89	9.446501789
90	9.446189911
91	9.445825561
92	9.445549954
93	9.445269667
94	9.444984341
95	9.444702959
96	9.444422648
97	9.444154187
98	9.443903689
99	9.443595679
100	9.443326117
101	9.443071284
102	9.442813927
103	9.442558002
104	9.442320402
105	9.442083156
106	9.441840871
107	9.441581684
108	9.441353406
109	9.441073714
110	9.44084866
111	9.440581536
112	9.440355751
113	9.440124568
114	9.439852749
115	9.439635936
116	9.439377767
117	9.439178202
118	9.438939439
119	9.438730516
120	9.438525543
121	9.438309778
122	9.438117024
123	9.437892259
124	9.437708847
125	9.437521475
126	9.437318275
127	9.437085579
128	9.436898554
129	9.436714763
130	9.436477016
131	9.436267319
132	9.43605474
133	9.435899349
134	9.43570079
135	9.435529565
136	9.435351143
137	9.435162646
138	9.434946804
139	9.434787078
140	9.434599288
141	9.434382354
142	9.434214344
143	9.434049208
144	9.433907096
145	9.433698062
146	9.433537235
147	9.433347981
148	9.433187149
149	9.43301336
150	9.432873751
151	9.432699597
152	9.432550987
153	9.432418928
154	9.432240447
155	9.432100467
156	9.431951848
157	9.431818701
158	9.431631572
159	9.431481506
160	9.431337196
161	9.431184966
162	9.431003223
163	9.430834073
164	9.430693712
165	9.430542912
166	9.430397147
167	9.430268297
168	9.430124329
169	9.430012031
170	9.429888575
171	9.429770876
172	9.429641298
173	9.42949516
174	9.429380695
175	9.42926371
176	9.42907365
177	9.428941902
178	9.428828151
179	9.428732398
180	9.428617564
181	9.428445491
182	9.428320934
183	9.428211496
184	9.428095936
185	9.427928893
186	9.427789569
187	9.427675804
188	9.427518835
189	9.427410827
190	9.427301738
191	9.427146923
192	9.426994626
193	9.426888052
194	9.426767075
195	9.426628454
196	9.426477228
197	9.426351925
198	9.426244984
199	9.42613048
200	9.426008774
201	9.425897868
202	9.42574663
203	9.425623478
204	9.425516889
205	9.425431545
206	9.42531127
207	9.425217641
208	9.425095562
209	9.424982125
210	9.424844198
211	9.424749844
212	9.424664493
213	9.424561134
214	9.424427883
215	9.424261856
216	9.424131121
217	9.424046124
218	9.423927992
219	9.423836151
220	9.423720897
221	9.423624371
222	9.423501552
223	9.423391697
224	9.423248704
225	9.423102106
226	9.423024304
227	9.422908321
228	9.422812867
229	9.42269544
230	9.422586296
231	9.422488678
232	9.422347472
233	9.422213109
234	9.422125933
235	9.422023628
236	9.421911594
237	9.421807845
238	9.421714182
239	9.421566119
240	9.42139716
241	9.421318984
242	9.421205861
243	9.421132367
244	9.421057791
245	9.420961598
246	9.420856037
247	9.420695712
248	9.420572493
249	9.420476296
250	9.420348391
251	9.420208954
252	9.420131129
253	9.420054743
254	9.419979799
255	9.419867741
256	9.419788111
257	9.419640018
258	9.41956471
259	9.41941193
260	9.419300946
261	9.419184917
262	9.419117172
263	9.418995735
264	9.418908169
265	9.418830693
266	9.418703487
267	9.418574837
268	9.418475375
269	9.418404743
270	9.418256268
271	9.418164732
272	9.418056617
273	9.417935166
274	9.417832814
275	9.417706676
276	9.417599636
277	9.417510977
278	9.417406458
279	9.417276349
280	9.417179037
281	9.417068748
282	9.416920612
283	9.416774998
284	9.416706515
285	9.416591895
286	9.416509354
287	9.416412394
288	9.416314711
289	9.416245144
290	9.416144576
291	9.416054101
292	9.415973357
293	9.415904868
294	9.415849356
295	9.415763203
296	9.415674887
297	9.415571069
298	9.4154896
299	9.415418224
300	9.415302867
301	9.41518066
302	9.415050881
303	9.41497157
304	9.414896225
305	9.414833136
306	9.41474409
307	9.414631609
308	9.414545445
309	9.414471178
310	9.414401236
311	9.414316512
312	9.414237195
313	9.414131198
314	9.414008615
315	9.413913793
316	9.413844928
317	9.413767411
318	9.413653476
319	9.413600474
320	9.413514301
321	9.413458054
322	9.413378369
323	9.413312386
324	9.413214311
325	9.413161667
326	9.413079456
327	9.412998326
328	9.41292008
329	9.412848324
330	9.412723921
331	9.412594469
332	9.412449508
333	9.412387485
334	9.412246488
335	9.412168597
336	9.412070149
337	9.411937803
338	9.411882628
339	9.411751721
340	9.411680316
341	9.411609272
342	9.411530654
343	9.41139289
344	9.41127532
345	9.411212207
346	9.411155225
347	9.411050996
348	9.410993291
349	9.410931619
350	9.410827388
351	9.410755255
352	9.410645612
353	9.410595119
354	9.410489802
355	9.410420191
356	9.410325332
357	9.410253196
358	9.410184305
359	9.410115413
360	9.410054457
361	9.409960676
362	9.40986978
363	9.40979764
364	9.409697725
365	9.409633519
366	9.409577609
367	9.409507631
368	9.409409517
369	9.409361181
370	9.409229517
371	9.409130318
372	9.409070798
373	9.409027871
374	9.408910271
375	9.408851471
376	9.408777159
377	9.408708618
378	9.408644766
379	9.40855999
380	9.408461144
381	9.408338488
382	9.408198152
383	9.408106157
384	9.40805132
385	9.407978444
386	9.407913866
387	9.407828723
388	9.407742857
389	9.407677917
390	9.407585916
391	9.407517006
392	9.407425004
393	9.407351041
394	9.407262285
395	9.407161622
396	9.407047246
397	9.406939364
398	9.406878387
399	9.406797203
400	9.406727565
401	9.406668752
402	9.406596587
403	9.406522257
404	9.406443596
405	9.406368543
406	9.406249106
407	9.406202558
408	9.406134359
409	9.40606616
410	9.406013115
411	9.405963318
412	9.405856145
413	9.405807069
414	9.405764127
415	9.405681852
416	9.405560602
417	9.405463529
418	9.405367898
419	9.405296806
420	9.40521994
421	9.405136216
422	9.405069092
423	9.40498284
424	9.404904888
425	9.404839206
426	9.40478832
427	9.404684382
428	9.404600653
429	9.404506458
430	9.404418757
431	9.404368591
432	9.404302905
433	9.404219173
434	9.404174058
435	9.404122808
436	9.404067948
437	9.403991071
438	9.403941625
439	9.403872326
440	9.403813134
441	9.403759716
442	9.403679588
443	9.403624004
444	9.403573833
445	9.40349984
446	9.403437397
447	9.403306733
448	9.403233099
449	9.403156576
450	9.403107125
451	9.403051537
452	9.402946497
453	9.402893074
454	9.402844705
455	9.402799222
456	9.402763486
457	9.402709701
458	9.402637506
459	9.402592384
460	9.40252452
461	9.402428137
462	9.402350886
463	9.40226822
464	9.402230316
465	9.402165337
466	9.402079059
467	9.402022021
468	9.401973286
469	9.401893504
470	9.401825635
471	9.401731772
472	9.401623107
473	9.401580868
474	9.401506498
475	9.401433211
476	9.401387361
477	9.401285551
478	9.40118338
479	9.401106841
480	9.40101622
481	9.400938235
482	9.40085339
483	9.400793818
484	9.400700306
485	9.400576826
486	9.400528805
487	9.400431319
488	9.400368494
489	9.400298447
490	9.400189766
491	9.400114663
492	9.400055085
493	9.399955067
494	9.399866602
495	9.399763693
496	9.399675587
497	9.399553538
498	9.399447014
499	9.399371544
500	9.399327489
501	9.399262491
502	9.399171491
503	9.399068213
504	9.399005379
505	9.39896999
506	9.398923406
507	9.398845404
508	9.398800624
509	9.398710704
510	9.398666285
511	9.39860706
512	9.398553973
513	9.398447799
514	9.39840049
515	9.398371238
516	9.398281314
517	9.398202223
518	9.398124937
519	9.398059207
520	9.398002145
521	9.397932081
522	9.397862377
523	9.397798452
524	9.397758724
525	9.397709966
526	9.397669516
527	9.397554303
528	9.397511323
529	9.397411639
530	9.397328567
531	9.397250552
532	9.39721624
533	9.397134973
534	9.397065263
535	9.396986162
536	9.396929454
537	9.396883582
538	9.396832653
539	9.396794005
540	9.396743075
541	9.396661443
542	9.396618098
543	9.39655597
544	9.396482644
545	9.396449413
546	9.396390173
547	9.39634177
548	9.396290116
549	9.396191502
550	9.396110587
551	9.396047011
552	9.395995355
553	9.39594695
554	9.395892404
555	9.395862421
556	9.395793424
557	9.395755133
558	9.395688303
559	9.39560919
560	9.395541998
561	9.395506235
562	9.395445183
563	9.395398581
564	9.395346199
565	9.395290927
566	9.395204947
567	9.395143532
568	9.395055744
569	9.395018172
570	9.394972652
571	9.394939776
572	9.394862102
573	9.394802492
574	9.394733849
575	9.394676405
576	9.394652922
577	9.394588974
578	9.394516356
579	9.394423143
580	9.394372923
581	9.394329929
582	9.394273205
583	9.394203113
584	9.394152892
585	9.39409978
586	9.39404161
587	9.393952367
588	9.393918042
589	9.393878659
590	9.393832411
591	9.393751115
592	9.393708841
593	9.393665121
594	9.393625014
595	9.393572261
596	9.393529986
597	9.393495298
598	9.393425562
599	9.393383647
600	9.393345707
601	9.393269104
602	9.393189248
603	9.39309819
604	9.3930523
605	9.392993039
606	9.392905954
607	9.392827902
608	9.392786346
609	9.392740092
610	9.392709015
611	9.392632407
612	9.392584346
613	9.392529057
614	9.392483887
615	9.392432934
616	9.392373669
617	9.39232922
618	9.392258752
619	9.392184309
620	9.392087459
621	9.392044093
622	9.391968563
623	9.391908211
624	9.391848582
625	9.391773412
626	9.391726792
627	9.391689569
628	9.391646562
629	9.391568861
630	9.391518265
631	9.391451405
632	9.39138852
633	9.391340452
634	9.391280819
635	9.39122227
636	9.391131193
637	9.391057102
638	9.390992768
639	9.390943253
640	9.390873859
641	9.39082868
642	9.39075025
643	9.390651216
644	9.39062447
645	9.390556158
646	9.390491821
647	9.390452785
648	9.390395315
649	9.390358086
650	9.390323025
651	9.390264109
652	9.390174468
653	9.390093863
654	9.390059163
655	9.390010004
656	9.389970605
657	9.389940965
658	9.389871563
659	9.389829272
660	9.389773967
661	9.389709986
662	9.389624678
663	9.389563588
664	9.38950539
665	9.389440323
666	9.389403451
667	9.38937887
668	9.389306573
669	9.389210055
670	9.389148239
671	9.389076301
672	9.3890134
673	9.388918325
674	9.388855785
675	9.388814573
676	9.388746971
677	9.388684791
678	9.388643578
679	9.388611403
680	9.388521385
681	9.388451612
682	9.388383284
683	9.388325078
684	9.38828531
685	9.388243373
686	9.388215896
687	9.388144675
688	9.38809659
689	9.388031875
690	9.387946552
691	9.387897744
692	9.387859781
693	9.387760718
694	9.387724563
695	9.387673946
696	9.387635983
697	9.387569456
698	9.387501845
699	9.387467135
700	9.387399885
701	9.38734782
702	9.387286715
703	9.38721874
704	9.387166313
705	9.387117139
706	9.387057479
707	9.38699818
708	9.386916825
709	9.386864034
710	9.386823537
711	9.386760621
712	9.386698427
713	9.386640934
714	9.386550898
715	9.386488703
716	9.386446758
717	9.386397942
718	9.386349125
719	9.386309349
720	9.386254023
721	9.386200144
722	9.386142286
723	9.386098531
724	9.386039226
725	9.385989323
726	9.385948822
727	9.385881922
728	9.385793325
729	9.385723893
730	9.385663862
731	9.385614681
732	9.385564052
733	9.385481961
734	9.385454838
735	9.385382149
736	9.385322478
737	9.385267147
738	9.38519771
739	9.385116339
740	9.385085237
741	9.385055582
742	9.384998441
743	9.384954319
744	9.384867159
745	9.384835333
746	9.384799528
747	9.384753597
748	9.384693922
749	9.384658479
750	9.384585783
751	9.384524299
752	9.384462814
753	9.384412541
754	9.384362629
755	9.384319589
756	9.3842487
757	9.384208553
758	9.384159725
759	9.384083047
760	9.384036389
761	9.383975262
762	9.383935476
763	9.383848307
764	9.383787179
765	9.383735094
766	9.383688073
767	9.383630561
768	9.383600178
769	9.383548091
770	9.383527474
771	9.383490579
772	9.383448982
773	9.383392916
774	9.383316594
775	9.383273549
776	9.383222546
777	9.383154542
778	9.383066642
779	9.383018893
780	9.382978741
781	9.382924119
782	9.382865156
783	9.38281813
784	9.382737824
785	9.382680307
786	9.382638344
787	9.382587338
788	9.382549354
789	9.382500156
790	9.382445531
791	9.382416953
792	9.382368839
793	9.382310958
794	9.382259588
795	9.38219628
796	9.382138036
797	9.382114883
798	9.38206713
799	9.382041806
800	9.381988987
801	9.381933998
802	9.381895288
803	9.381837766
804	9.38178169
805	9.38173285
806	9.381702098
807	9.381661579
808	9.381616717
809	9.38155051
810	9.381480685
811	9.381430034
812	9.381395302
813	9.381336691
814	9.381297255
815	9.381240453
816	9.381169178
817	9.381126847
818	9.381050144
819	9.381012878
820	9.380949561
821	9.380905058
822	9.380845359
823	9.380806283
824	9.380737176
825	9.380698823
826	9.380639122
827	9.380589552
828	9.380566757
829	9.380488241
830	9.380435052
831	9.3803815
832	9.380317818
833	9.380257753
834	9.380209628
835	9.380177424
836	9.380128214
837	9.380075746
838	9.38004897
839	9.379996864
840	9.37995489
841	9.37990423
842	9.379882157
843	9.379850676
844	9.379805444
845	9.37976166
846	9.37972077
847	9.379653464
848	9.379614021
849	9.379570597
850	9.379510528
851	9.379446477
852	9.379389663
853	9.379369399
854	9.37932525
855	9.379282187
856	9.379236952
857	9.379170005
858	9.37911717
859	9.379048412
860	9.379004624
861	9.378947084
862	9.378897144
863	9.378843222
864	9.378761796
865	9.378727053
866	9.37866915
867	9.378609798
868	9.378588808
869	9.378545018
870	9.378503398
871	9.378479875
872	9.37844477
873	9.378399169
874	9.378343435
875	9.378303263
876	9.378268881
877	9.378218574
878	9.378183468
879	9.378136419
880	9.378081769
881	9.378036529
882	9.377979706
883	9.377924332
884	9.377903702
885	9.377842898
886	9.377810686
887	9.377747347
888	9.377722736
889	9.377655053
890	9.377626822
891	9.377572169
892	9.377491818
893	9.377458157
894	9.377415447
895	9.377359345
896	9.377313739
897	9.377257637
898	9.377197914
899	9.377166786
