iter	Passed	Remaining
0	25	23031
1	51	22990
2	76	22918
3	101	22718
4	126	22688
5	151	22633
6	177	22655
7	201	22505
8	226	22412
9	251	22410
10	277	22426
11	302	22375
12	328	22408
13	353	22345
14	377	22278
15	402	22222
16	427	22188
17	452	22191
18	478	22187
19	503	22157
20	528	22111
21	553	22096
22	579	22095
23	604	22062
24	629	22028
25	654	21998
26	679	21963
27	704	21932
28	729	21903
29	754	21874
30	779	21843
31	804	21814
32	828	21772
33	854	21758
34	879	21740
35	904	21715
36	929	21686
37	955	21666
38	980	21651
39	1006	21634
40	1031	21619
41	1056	21584
42	1081	21546
43	1106	21529
44	1131	21504
45	1157	21487
46	1182	21468
47	1208	21445
48	1234	21437
49	1259	21406
50	1284	21387
51	1309	21351
52	1333	21306
53	1358	21277
54	1383	21251
55	1408	21224
56	1432	21188
57	1457	21162
58	1482	21136
59	1507	21100
60	1531	21067
61	1556	21041
62	1581	21014
63	1606	20987
64	1632	20972
65	1656	20932
66	1680	20899
67	1706	20877
68	1730	20842
69	1755	20811
70	1778	20771
71	1804	20752
72	1830	20741
73	1854	20705
74	1880	20684
75	1905	20660
76	1931	20645
77	1956	20614
78	1980	20577
79	2005	20554
80	2030	20530
81	2056	20510
82	2080	20476
83	2105	20457
84	2131	20436
85	2156	20411
86	2181	20383
87	2206	20362
88	2232	20344
89	2258	20322
90	2282	20295
91	2307	20264
92	2331	20234
93	2357	20211
94	2382	20190
95	2407	20159
96	2445	20242
97	2469	20210
98	2493	20177
99	2517	20142
100	2542	20117
101	2567	20086
102	2592	20059
103	2615	20019
104	2640	19989
105	2663	19952
106	2688	19926
107	2714	19908
108	2739	19880
109	2765	19858
110	2790	19833
111	2815	19810
112	2841	19790
113	2866	19766
114	2891	19734
115	2916	19710
116	2940	19680
117	2966	19658
118	2992	19636
119	3016	19609
120	3041	19583
121	3066	19554
122	3090	19525
123	3116	19502
124	3140	19472
125	3165	19442
126	3190	19421
127	3216	19398
128	3242	19377
129	3268	19360
130	3294	19337
131	3318	19309
132	3343	19279
133	3367	19251
134	3392	19223
135	3417	19198
136	3443	19175
137	3467	19149
138	3492	19123
139	3518	19101
140	3543	19074
141	3567	19045
142	3594	19025
143	3619	19002
144	3642	18968
145	3667	18941
146	3692	18916
147	3717	18888
148	3742	18862
149	3766	18832
150	3791	18805
151	3816	18778
152	3841	18754
153	3865	18724
154	3890	18697
155	3915	18674
156	3941	18651
157	3966	18625
158	3991	18603
159	4015	18573
160	4040	18547
161	4065	18520
162	4089	18491
163	4114	18465
164	4138	18436
165	4164	18412
166	4189	18387
167	4213	18357
168	4237	18327
169	4262	18304
170	4287	18278
171	4310	18244
172	4336	18221
173	4360	18195
174	4385	18168
175	4409	18137
176	4431	18100
177	4455	18071
178	4479	18043
179	4504	18017
180	4529	17991
181	4552	17958
182	4575	17927
183	4599	17899
184	4624	17871
185	4646	17837
186	4671	17811
187	4695	17784
188	4718	17752
189	4743	17725
190	4766	17694
191	4789	17661
192	4812	17628
193	4836	17599
194	4859	17569
195	4883	17540
196	4905	17505
197	4927	17471
198	4953	17447
199	4977	17421
200	5000	17389
201	5025	17366
202	5049	17338
203	5074	17311
204	5098	17286
205	5122	17256
206	5144	17222
207	5190	17267
208	5213	17237
209	5235	17202
210	5258	17170
211	5281	17139
212	5305	17113
213	5330	17086
214	5352	17053
215	5376	17025
216	5399	16994
217	5423	16967
218	5447	16938
219	5470	16908
220	5496	16886
221	5520	16860
222	5545	16834
223	5568	16803
224	5591	16774
225	5614	16745
226	5640	16721
227	5663	16691
228	5687	16664
229	5709	16633
230	5733	16606
231	5757	16578
232	5781	16551
233	5804	16519
234	5828	16493
235	5851	16463
236	5875	16437
237	5898	16407
238	5923	16382
239	5947	16355
240	5970	16326
241	5995	16302
242	6017	16270
243	6043	16247
244	6068	16224
245	6091	16195
246	6115	16168
247	6138	16138
248	6161	16109
249	6185	16083
250	6208	16052
251	6230	16021
252	6254	15993
253	6277	15964
254	6301	15937
255	6324	15910
256	6350	15887
257	6373	15858
258	6397	15833
259	6420	15804
260	6443	15775
261	6465	15744
262	6488	15714
263	6511	15686
264	6532	15653
265	6558	15631
266	6582	15605
267	6604	15575
268	6629	15549
269	6654	15526
270	6677	15497
271	6700	15470
272	6723	15442
273	6746	15413
274	6769	15384
275	6792	15355
276	6814	15325
277	6838	15300
278	6862	15274
279	6886	15248
280	6908	15219
281	6931	15189
282	6954	15162
283	6977	15135
284	7002	15110
285	7026	15085
286	7050	15058
287	7073	15031
288	7096	15003
289	7118	14972
290	7141	14946
291	7163	14916
292	7187	14891
293	7211	14864
294	7235	14838
295	7258	14810
296	7284	14789
297	7306	14760
298	7332	14738
299	7355	14710
300	7378	14684
301	7402	14658
302	7425	14629
303	7449	14605
304	7472	14578
305	7495	14550
306	7519	14524
307	7543	14498
308	7568	14474
309	7590	14445
310	7614	14420
311	7637	14394
312	7661	14369
313	7686	14344
314	7708	14316
315	7731	14288
316	7755	14264
317	7779	14237
318	7801	14209
319	7824	14182
320	7846	14153
321	7871	14128
322	7893	14100
323	7936	14109
324	7959	14081
325	7980	14051
326	8002	14022
327	8024	13994
328	8048	13969
329	8071	13941
330	8094	13913
331	8117	13887
332	8140	13860
333	8165	13836
334	8187	13809
335	8211	13783
336	8235	13758
337	8259	13732
338	8284	13709
339	8307	13683
340	8330	13655
341	8353	13630
342	8378	13606
343	8402	13581
344	8426	13554
345	8448	13526
